active_balance_strength,covariance_coefficient,impact_coefficient,cost_adjustment_coefficient,best_bitstring,best_energy,selected_tickers,matches_base_support,jaccard_vs_base
2.0,0.04,0.01,0.1,11111100000,-4.0009497893118535,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.04,0.02,0.025,11111100000,-4.050157768664699,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.04,0.02,0.05,11111100000,-4.031333805535233,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.04,0.02,0.1,11111100000,-3.9936858792763013,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.04,0.04,0.025,11111100000,-4.035629948593594,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.04,0.04,0.05,11111100000,-4.016805985464129,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.04,0.04,0.1,11111100000,-3.979158059205197,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.01,0.025,11111100000,-3.8820888826971203,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.01,0.05,11111100000,-3.863264919567655,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.01,0.1,11111100000,-3.8256169933087234,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.02,0.025,11111100000,-3.8748249726615676,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.02,0.05,11111100000,-3.8560010095321022,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.02,0.1,11111100000,-3.8183530832731707,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.04,0.025,11111100000,-3.8602971525904635,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.04,0.05,11111100000,-3.841473189460998,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
2.0,0.08,0.04,0.1,11111100000,-3.8038252632020666,"SGOV, BIL, SHY, QQQ, VUG, MTUM",True,1.0
