rank,bitstring,energy,selected_indices,selected_tickers
180,10110101010,-0.7448737947620074,"(0, 2, 3, 5, 7, 9)","SGOV, SHY, QQQ, MTUM, EWC, VGK"
181,10111010010,-0.7375555549509283,"(0, 2, 3, 4, 6, 9)","SGOV, SHY, QQQ, VUG, SPY, VGK"
182,10110001110,-0.7243378123843103,"(0, 2, 3, 7, 8, 9)","SGOV, SHY, QQQ, EWC, EEM, VGK"
183,10110111000,-0.7213890857381702,"(0, 2, 3, 5, 6, 7)","SGOV, SHY, QQQ, MTUM, SPY, EWC"
184,10110100110,-0.7125965236978318,"(0, 2, 3, 5, 8, 9)","SGOV, SHY, QQQ, MTUM, EEM, VGK"
185,01100110011,-0.706462692230621,"(1, 2, 5, 6, 9, 10)","BIL, SHY, MTUM, SPY, VGK, USMV"
186,01100011011,-0.7046870226990847,"(1, 2, 6, 7, 9, 10)","BIL, SHY, SPY, EWC, VGK, USMV"
187,10110011100,-0.7024331356642164,"(0, 2, 3, 6, 7, 8)","SGOV, SHY, QQQ, SPY, EWC, EEM"
188,10110110100,-0.6889529867991908,"(0, 2, 3, 5, 6, 8)","SGOV, SHY, QQQ, MTUM, SPY, EEM"
189,01100010111,-0.6714328462553572,"(1, 2, 6, 8, 9, 10)","BIL, SHY, SPY, EEM, VGK, USMV"
190,10111001010,-0.6278043017987667,"(0, 2, 3, 4, 7, 9)","SGOV, SHY, QQQ, VUG, EWC, VGK"
191,01101010011,-0.6131955568663421,"(1, 2, 4, 6, 9, 10)","BIL, SHY, VUG, SPY, VGK, USMV"
192,10111100010,-0.6087018140885738,"(0, 2, 3, 4, 5, 9)","SGOV, SHY, QQQ, VUG, MTUM, VGK"
193,01100101011,-0.6045835727632829,"(1, 2, 5, 7, 9, 10)","BIL, SHY, MTUM, EWC, VGK, USMV"
194,10111011000,-0.6007543191624527,"(0, 2, 3, 4, 6, 7)","SGOV, SHY, QQQ, VUG, SPY, EWC"
195,10111000110,-0.5968811619671373,"(0, 2, 3, 4, 8, 9)","SGOV, SHY, QQQ, VUG, EEM, VGK"
196,01100111001,-0.590502130110329,"(1, 2, 5, 6, 7, 10)","BIL, SHY, MTUM, SPY, EWC, USMV"
197,10110101100,-0.5801787843305788,"(0, 2, 3, 5, 7, 8)","SGOV, SHY, QQQ, MTUM, EWC, EEM"
